state_name,state_name_slug,state_code,state_code_slug,votesmart,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
Hawaii,hawaii,HI,hi,3406,governor,democrat,David Ige,david-ige,David,NA,Ige,NA,NA,DAY-vid EE-gay,male,pacific-islander,unspecified,NA,1957-01-15,2014-01-12,2022-01-01,"David Yutaka Ige (born January 15, 1957) is an American politician who serves as the eighth and current Governor of Hawaii, in office since 2014. A Democrat, he previously served in the Hawaii State Senate, representing the 16th district, from 1995 to 2014. In the 2014 Hawaii gubernatorial election, he won the Democratic primary by defeating incumbent Governor Neil Abercrombie with 66% of the vote.",808-586-0034,808-586-0006,21.307764,-157.8594961,"415 South Beretania Street, Honolulu, HI 96813",415,S,Beretania,NA,NA,Honolulu,HI,96813,St,https://governor.hawaii.gov,https://governor.hawaii.gov/contact-us/contact-the-governor/,https://facebook.com/GovernorDavidIge,GovHawaii,https://twitter.com/GovHawaii,https://cdn.civil.services/us-governors/headshots/512x512/david-ige.jpg
Idaho,idaho,ID,id,54166,governor,republican,Brad Little,brad-little,Brad,NA,Little,NA,NA,BRAD LI-tel,male,white-american,episcopalian,NA,1954-02-15,2019-01-01,2022-12-31,"Brad Little is the Republican Governor of Idaho. Little was elected to the office on November 6, 2018. Little was the 42nd Lieutenant Governor of Idaho, serving from 2009 to 2019. In his capacity as lieutenant governor, Little also served as president of the Idaho State Senate.",208-334-2100,208-334-2175,43.617779,-116.199654,"700 West Jefferson, Boise, ID 83702",700,W,Jefferson,NA,NA,Boise,ID,83702,NA,https://gov.idaho.gov/,https://gov.idaho.gov/contact-us/,https://facebook.com/bradlittleforidaho/,GovernorLittle,https://twitter.com/GovernorLittle,https://cdn.civil.services/us-governors/headshots/512x512/brad-little.jpg
Illinois,illinois,IL,il,18341,governor,democrat,J.B. Pritzker,jb-pritzker,J.B.,NA,Pritzker,NA,NA,J B PRITS-ker,male,white-american,unspecified,NA,1965-01-19,2019-01-01,2022-12-31,"J.B. Pritzker is the Democratic Governor of Illinois. Pritzker was elected to the office on November 6, 2018.",217-782-0244,217-524-4049,39.801149,-89.648686,"State Capitol, Springfield, IL 62706",NA,NA,State,NA,NA,NA,NA,NA,NA,https://www.illinois.gov/gov/,https://www2.illinois.gov/gov/contactus/Pages/default.aspx,https://facebook.com/jbpritzker,jbpritzker,https://twitter.com/jbpritzker,https://cdn.civil.services/us-governors/headshots/512x512/jb-pritzker.jpg
Indiana,indiana,IN,in,34349,governor,republican,Eric Holcomb,eric-holcomb,Eric,Joseph,Holcomb,NA,NA,E-rik HAWL-koam,male,white-american,church-of-god,NA,1968-05-02,2017-01-09,2025-01-01,"Eric Joseph Holcomb (born May 2, 1968) is an American politician who serves as the 51st and current Governor of Indiana since January 2017. Prior to his election to the governorship, he was also the 51st Lieutenant Governor of Indiana under Governor Mike Pence, now the 48th and current Vice President of the United States.",317-232-4567,317-232-3443,39.767169,-86.162628,"200 W. Washington St., Second Floor, Rm. 206, Indianapolis, IN 46204",200,W,Washington,NA,NA,NA,NA,NA,St,https://www.in.gov/gov/,https://www.in.gov/core/help.html,https://facebook.com/GovHolcomb,GovHolcomb,https://twitter.com/GovHolcomb,https://cdn.civil.services/us-governors/headshots/512x512/eric-holcomb.jpg
Iowa,iowa,IA,ia,103324,governor,republican,Kimberly Reynolds,kimberly-reynolds,Kimberly,Kay,Reynolds,NA,Kim,KIM RE-neldz,female,white-american,unspecified,NA,1959-08-04,2017-05-24,2023-01-01,"Kimberly Kay Reynold is an American politician serving as the 43rd and current Governor of Iowa since 2017. A Republican, she previously served as the Lieutenant Governor of Iowa from 2011 to 2017 and assumed the governorship when incumbent Governor Terry Branstad became the United States Ambassador to China. Reynolds is the first female Governor of Iowa.",515-281-5211,515-281-6611,41.5912077,-93.6059486,"1007 East Grand Ave., Des Moines, IA 50319",1007,E,Grand,NA,NA,Des Moines,IA,50319,Ave,https://governor.iowa.gov,https://governor.iowa.gov/contact,https://facebook.com/IAGovernor,kimreynoldsia,https://twitter.com/kimreynoldsia,https://cdn.civil.services/us-governors/headshots/512x512/kimberly-reynolds.jpg
Kansas,kansas,KS,ks,34496,governor,democrat,Laura Kelly,laura-kelly,Laura,NA,Kelly,NA,NA,LA-ur-ra KE-lee,female,white-american,unspecified,NA,1950-01-24,2018-01-31,2023-01-01,"Laura Kelly is the Democratic Governor of Kansas. Kelly was elected to the office on November 6, 2018. Kelly is a former Democratic member of the Kansas State Senate, representing District 18 from 2005 to 2018.",785-296-3232,785-296-7973,39.046497,-95.67936,"300 SW 10th Avenue, Suite 212S, Topeka, KS 66612-1590",300,SW,10th,Suite,212S,Topeka,KS,66612,Ave,https://governor.kansas.gov,https://governor.kansas.gov/contact/contact-the-governor/,https://facebook.com/LauraKellyKS,govlaurakelly,https://twitter.com/govlaurakelly,https://cdn.civil.services/us-governors/headshots/512x512/laura-kelly.jpg
Kentucky,kentucky,KY,ky,156112,governor,democrat,Andy Beshear,andy-beshear,Andy,NA,Beshear,NA,NA,an-dee be-shear,male,white-american,protestant,NA,1977-11-29,2019-12-10,2023-01-01,"Beshear was born in Louisville, the son of Steve and Jane Beshear. He grew up in Fayette, Franklin, and Clark counties and graduated from Henry Clay High School in Lexington, Kentucky. Steve Beshear was the Governor of the Commonwealth of Kentucky from 2007 to 2015.",502-564-2611,502-564-2517,38.8958561,-77.0119808,"444 North Capitol Street, Washington, DC 20001",444,N,Capitol,NA,NA,Washington,DC,20001,St,https://governor.ky.gov,https://governor.ky.gov/contact/contact-us,https://facebook.com/govandybeshear,govandybeshear,https://twitter.com/govandybeshear,https://cdn.civil.services/us-governors/headshots/512x512/andy-beshear.jpg
Louisiana,louisiana,LA,la,72012,governor,democrat,John Edwards,john-edwards,John,Bel,Edwards,NA,NA,JOAN ED-werdz,male,white-american,unspecified,NA,1966-09-16,2016-01-11,2023-01-01,"John Bel Edwards (born September 16, 1966) is an American politician and lawyer who is the 56th and current Governor of Louisiana, in office since January 11, 2016. He was previously the Minority Leader of the Louisiana House of Representatives and represented the 72nd District for two terms. He left the state legislature to run for governor in 2015.",623-773-7328,225-342-7099,30.4571189,-91.1896208,"Louisiana State Capitol, Baton Rouge, LA 70802",NA,NA,Louisiana,NA,NA,NA,NA,NA,NA,https://gov.louisiana.gov/,https://gov.louisiana.gov/page/contact,https://facebook.com/LouisianaGov,louisianagov,https://twitter.com/louisianagov,https://cdn.civil.services/us-governors/headshots/512x512/john-edwards.jpg
Maine,maine,ME,me,36856,governor,democrat,Janet Mills,janet-mills,Janet,NA,Mills,NA,NA,JA-net MILZ,female,white-american,unspecified,NA,1947-12-30,2019-01-01,2022-12-31,"Janet T. Mills is the Democratic Governor of Maine. Mills was elected to the office on November 6, 2018. Mills served as Maine attorney general from 2009 to 2010 and again assumed office in 2012.",207-287-3531,207-287-1034,44.3069799,-69.784334,"1 State House Station, Augusta, ME 04333",1,NA,State House,NA,NA,Augusta,ME,04333,Sta,https://www.maine.gov/governor/,https://www.maine.gov/governor/mills/contact,https://facebook.com/millsforgovernor,JanetMillsforME,https://twitter.com/JanetMillsforME,https://cdn.civil.services/us-governors/headshots/512x512/janet-mills.jpg
Maryland,maryland,MD,md,147764,governor,republican,Lawrence Hogan,lawrence-hogan,Lawrence,Joseph,Hogan,Jr.,Larry,LA-ree HOH-gen,male,white-american,unspecified,NA,1956-05-25,2015-01-21,2023-01-01,"Lawrence Joseph Hogan Jr. (born May 25, 1956) is an American politician who currently serves as the 62nd Governor of Maryland, in office since January 2015. He is only the second Republican governor in Maryland in nearly 50 years, and the first Maryland governor from Anne Arundel County to be elected in over 100 years.",410-974-3901,410-974-3275,38.9788597,-76.4932177,"100 State Circle, Annapolis, MD 21401",100,NA,State,NA,NA,Annapolis,MD,21401,Cir,https://governor.maryland.gov/,https://governor.maryland.gov/mail/default.asp,https://facebook.com/larryhoganmd,LarryHogan,https://twitter.com/LarryHogan,https://cdn.civil.services/us-governors/headshots/512x512/lawrence-hogan.jpg
Massachusetts,massachusetts,MA,ma,124824,governor,republican,Charles Baker,charles-baker,Charles,Duane,Baker,Jr.,Charlie,CHARR-lee BAY-ker,male,white-american,protestant,NA,1956-11-13,2015-01-08,2023-01-01,"Charles Duane Baker Jr. (born November 13, 1956), is an American businessman and the 72nd and current Governor of Massachusetts, having been sworn into office on January 8, 2015. He was a cabinet official under two Massachusetts governors, spent ten years as CEO of Harvard Pilgrim Health Care and was also the Republican nominee for governor of Massachusetts in an unsuccessful 2010 bid.",617-725-4005,617-727-9725,42.3587723,-71.0660006,"Massachusetts State House, Office of the Governor, Room 280 Boston, MA 02133",NA,NA,Massachusetts,NA,NA,NA,NA,NA,NA,https://www.mass.gov/governor/,https://www.mass.gov/governor/constituent-services/contact-governor-office/,https://facebook.com/CharlieBakerMA,massgovernor,https://twitter.com/massgovernor,https://cdn.civil.services/us-governors/headshots/512x512/charles-baker.jpg
Michigan,michigan,MI,mi,37868,governor,democrat,Gretchen Whitmer,gretchen-whitmer,Gretchen,NA,Whitmer,NA,NA,GRE-chen WIT-mer,female,white-american,unspecified,NA,1971-08-23,2019-01-01,2022-12-31,"Gretchen Whitmer is the Democratic Governor of Michigan. Whitmer was elected to the office on November 6, 2018. Whitmer is a former Democratic member of the Michigan State Senate, representing District 23 from her win in a 2006 special election to 2015. She served as minority leader for the final four years of her tenure.",517-373-3400,517-335-6863,42.741625,-84.59981,"P.O. Box 30013, Lansing, MI 48909",NA,NA,NA,PO Box,30013,Lansing,MI,48909,NA,https://www.michigan.gov/gov,"https://www.michigan.gov/whitmer/0,9309,7-387-90498_90663---,00.html",https://facebook.com/GretchenWhitmer,gretchenwhitmer,https://twitter.com/gretchenwhitmer,https://cdn.civil.services/us-governors/headshots/512x512/gretchen-whitmer.jpg
Minnesota,minnesota,MN,mn,65443,governor,democrat,Tim Walz,tim-walz,Tim,NA,Walz,NA,NA,TIM WALZ,male,white-american,lutheran,NA,1964-04-06,2019-01-01,2022-12-31,"Tim Walz is the Democratic Governor of Minnesota. Walz was elected to the office on November 6, 2018.",651-201-3400,651-797-1850,44.954546,-93.099553,"130 State Capitol, 75 Rev Dr. Martin Luther King Jr. Blvd. St. Paul, MN 55155",130,NA,State,NA,NA,NA,NA,NA,NA,https://mn.gov/governor/,https://mn.gov/governor/contact/,https://facebook.com/GovTimWalz,GovTimWalz,https://twitter.com/GovTimWalz,https://cdn.civil.services/us-governors/headshots/512x512/tim-walz.jpg
Mississippi,mississippi,MS,ms,40266,governor,republican,Tate Reeves,tate-reeves,Tate,NA,Reeves,NA,NA,tate ree-ves,male,white-american,methodist,NA,1974-06-05,2020-01-14,2024-01-01,"A native of Rankin County, Mississippi, Reeves graduated in 1992 from Florence High School in Florence. He is an honors graduate of Millsaps College in Jackson, where he earned a bachelor's degree in economics.",601-359-3150,601-359-3741,32.305033,-90.1830618,"550 High St., Sillers Building, 19th Floor, Jackson, MS 39201",550,NA,High,NA,NA,NA,NA,NA,St,https://governorreeves.ms.gov,https://governorreeves.ms.gov/,https://facebook.com/tatereeves/,tatereeves,https://twitter.com/tatereeves,https://cdn.civil.services/us-governors/headshots/512x512/tate-reeves.jpg
Missouri,missouri,MO,mo,39119,governor,republican,Michael Parson,michael-parson,Michael,L.,Parson,NA,Mike,MIKE PAR-son,male,white-american,unspecified,NA,1955-09-17,2018-06-01,2023-01-01,"Michael L. Parson (born September 17, 1955) is an American politician and former law enforcement officer currently serving as the 57th Governor of Missouri, having taken office on June 1, 2018 after the resignation of Eric Greitens. Parson previously served as the 47th Lieutenant Governor of Missouri.",573-751-3222,573-526-3291,38.5774764,-92.1758644,"201 West Capitol Avenue, Room 218, Post Office Box 720, Jefferson City, MO 65101",201,W,Capitol,Room,218,NA,NA,NA,Ave,https://governor.mo.gov/,https://governor.mo.gov/get-involved/contact-the-governors-office,https://facebook.com/TeamMikeParson,mikeparson,https://twitter.com/mikeparson,https://cdn.civil.services/us-governors/headshots/512x512/michael-parson.jpg
Montana,montana,MT,mt,168594,governor,republican,Greg Gianforte,greg-gianforte,Greg,NA,Gianforte,NA,NA,greg jee-uhn-for-tei,male,white-american,unspecified,NA,1961-04-17,2021-01-04,2025-01-01,"Gregory Gianforte is an American politician, businessman, engineer, philanthropist, and author serving as the 25th Governor of Montana since 2021. A Republican, Gianforte served as the Representative for Montana's at-large congressional district from 2017 to 2021.",406-444-3111,406-444-5529,46.5855819,-112.0199645,"1301 E 6th Ave, Helena, MT 5960",1301,E,6th,NA,NA,Helena,MT,NA,Ave,https://governor.mt.gov,https://governor.mt.gov/contact,https://facebook.com/GovGianforte,gregformontana,https://twitter.com/gregformontana,https://cdn.civil.services/us-governors/headshots/512x512/greg-gianforte.jpg
Nebraska,nebraska,NE,ne,57777,governor,republican,John Ricketts,john-ricketts,John,Peter,Ricketts,NA,Pete,PEET RI-kits,male,white-american,roman-catholic,NA,1964-08-19,2015-01-08,2023-01-01,"Ricketts was born in Nebraska City, Nebraska, and now lives in Omaha. He attended the University of Chicago for both his bachelor and graduate studies, and received an MBA in marketing and finance from the university's Graduate School of Business.",402-471-2244,402-471-6031,40.800004,-96.672194,"Office of the Governor, Post Office Box 94848, Lincoln, NE 68509-4848",NA,NA,of,Office,NA,NA,NA,NA,NA,https://governor.nebraska.gov/,https://governor.nebraska.gov/contact-form,https://facebook.com/GovernorPeteRicketts,GovRicketts,https://twitter.com/GovRicketts,https://cdn.civil.services/us-governors/headshots/512x512/john-ricketts.jpg
Nevada,nevada,NV,nv,12492,governor,democrat,Steve Sisolak,steve-sisolak,Steve,NA,Sisolak,NA,NA,STEEV SEE-saw-lak,male,white-american,unspecified,NA,1953-12-26,2019-01-01,2023-01-01,"Steve Sisolak is the Democratic Governor of Nevada. Sisolak was elected to the office on November 6, 2018. Sisolak served as the District A representative on the Clark County Commission in Nevada from 2009 to 2019.",775-684-5670,775-684-5683,39.163894,-119.766127,"Capitol Building, 101 N. Carson St., Carson City, NV 89701",NA,NA,Capitol,Building,101,NA,NA,NA,NA,https://gov.nv.gov/,https://gov.nv.gov/Contact/Contact/,https://facebook.com/VoteSteveSisolak,stevesisolak,https://twitter.com/stevesisolak,https://cdn.civil.services/us-governors/headshots/512x512/steve-sisolak.jpg
New Hampshire,new-hampshire,NH,nh,125989,governor,republican,Christopher Sununu,christopher-sununu,Christopher,T.,Sununu,NA,Chris,KRIS SUU-NOO-noo,male,white-american,roman-catholic,NA,1974-11-05,2017-01-05,2023-01-01,"Christopher T. Sununu (born November 5, 1974) is an American politician and businessman who serves as the 82nd and current Governor of New Hampshire, since January 2017. Sununu was previously a member of the New Hampshire Executive Council, an office he held from (2011-2017). At age 42, Sununu is currently the youngest state Governor in the United States.",603-271-2121,603-271-7680,43.2069998,-71.5403939,"107 North Main Street, Concord, NH 03301",107,N,Main,NA,NA,Concord,NH,03301,St,https://www.governor.nh.gov/,https://business.nh.gov/nhgovernor/comments.asp,https://facebook.com/GovernorChrisSununu,GovChrisSununu,https://twitter.com/GovChrisSununu,https://cdn.civil.services/us-governors/headshots/512x512/christopher-sununu.jpg
New Jersey,new-jersey,NJ,nj,176221,governor,democrat,Philip Murphy,philip-murphy,Philip,Dunton,Murphy,NA,Phil,FIL MUR-fee,male,white-american,unspecified,NA,1957-08-16,2018-01-16,2022-01-01,"Philip Dunton Murphy (born August 16, 1957) is an American financier, diplomat, and politician currently serving as the 56th Governor of New Jersey. Murphy, a Democrat, defeated then Lieutenant Governor Kim Guadagno in the 2017 gubernatorial election.",609-292-6000,609-292-3454,40.220707,-74.763027,"Office of the Governor, Post Office Box 001, Trenton, NJ 08625",NA,NA,of,Office,NA,NA,NA,NA,NA,https://www.nj.gov/governor/,https://www.nj.gov/governor/contact/,https://facebook.com/PhilMurphyNJ,philmurphynj,https://twitter.com/philmurphynj,https://cdn.civil.services/us-governors/headshots/512x512/philip-murphy.jpg
New Mexico,new-mexico,NM,nm,102404,governor,democrat,Michelle Lujan Grisham,michelle-lujan-grisham,Michelle,NA,Lujan Grisham,NA,NA,MI-shel LOO-hawn-GRIS-ham,female,white-american,unspecified,NA,1959-10-24,2019-01-01,2022-12-31,"Michelle Lujan Grisham is the Democratic Governor of New Mexico. Grisham was elected to the office on November 6, 2018. Lujan Grisham served in the U.S. House, representing the 1st Congressional District of New Mexico, from 2013 to 2019.",505-476-2200,505-476-2226,35.68291,-105.94205,"State Capitol, Fourth Floor, Santa Fe, NM 87501",NA,NA,State,NA,NA,NA,NA,NA,NA,https://www.governor.state.nm.us/,https://www.governor.state.nm.us/contact/,https://facebook.com/mlujangrisham,michelle4nm,https://twitter.com/michelle4nm,https://cdn.civil.services/us-governors/headshots/512x512/michelle-lujan-grisham.jpg
New York,new-york,NY,ny,45083,governor,democrat,Andrew Cuomo,andrew-cuomo,Andrew,Mark,Cuomo,NA,NA,AN-droo KWOH-moh,male,white-american,roman-catholic,NA,1957-12-06,2011-01-01,2023-01-01,"Andrew Mark Cuomo (born December 6, 1957) is an American politician and attorney who has been the 56th Governor of New York since January 1, 2011. A member of the Democratic Party, he was elected in 2010, holding the same position his father, Mario Cuomo, held for three terms from 1983 to 1995.",518-474-8390,NA,42.6497791,-73.7618584,"Governor, State Capitol Building, Albany, NY 12224",NA,NA,Governor,NA,NA,NA,NA,NA,NA,https://www.governor.ny.gov/,https://www.governor.ny.gov/contact-iframe,https://facebook.com/GovernorAndrewCuomo,nygovcuomo,https://twitter.com/nygovcuomo,https://cdn.civil.services/us-governors/headshots/512x512/andrew-cuomo.jpg
North Carolina,north-carolina,NC,nc,5900,governor,democrat,Roy Cooper,roy-cooper,Roy,Asberry,Cooper,III,NA,ROY KOO-per,male,white-american,presbyterian,NA,1957-06-13,2017-01-01,2023-01-01,"Roy Asberry Cooper III (born June 13, 1957) is an American politician and attorney who is the 75th and current Governor of North Carolina, since January 2017. Prior to his governorship, Cooper had served as the Attorney General of North Carolina from 2001 to 2017 and was previously a member of the North Carolina State Senate.",919-814-2000,919-733-2120,35.8093599,-78.7094088,"20301 Mail Service Center, Raleigh, NC 27699",20301,NA,Mail Service,NA,NA,Raleigh,NC,27699,Ctr,https://governor.nc.gov/,https://governor.nc.gov/contact-governor-cooper,https://facebook.com/NCgovernor,NC_Governor,https://twitter.com/NC_Governor,https://cdn.civil.services/us-governors/headshots/512x512/roy-cooper.jpg
